ID,Date,Title,Content no HTML,Topics,Regions,Events,Persons / Groups,Places,Themes,Post Type,Status
42876,2017-08-11,US Navy destroyer sails within 12 miles of artificial island in South China Sea,"On Thursday, the guided missile destroyer USS John S. McCain sailed within 12 nautical miles of Mischief Reef, an artificial island built by China, in what the Pentagon calls a “freedom of navigation” exercise. Twelve nautical miles is an internationally-recognized territorial boundary. Sailing within that boundary shows a country does not recognize a territorial claim, according to Reuters.
China’s Foreign Ministry responded to the U.S. operation, saying it violated international and Chinese law, and that “China is very displeased with this and will bring up the issue with the U.S. side.” 
Mischief Reef is one of seven artificial islands built by China in the Spratly Islands archipelago. Three of these have runways and military installations. China’s territorial claims in the area have been disputed by Brunei, Malaysia, the Philippines, Taiwan and Vietnam. About $5 trillion in trade passes through the South China Sea each year.
Sources: Reuters, Fox News",The Facts|World,Africa|Asia|Middle East|USA,election,FBI|International Organization for Migration|John Kerry|Raila Odinga|Uhuru Kenyatta|US State Department,Cuba|Kenya|New Orleans|South China Sea|Yemen,international relations|migrants,world_news,publish
42879,2017-08-11,"19 migrants ‘deliberately drowned’ off Yemen’s coast, UN agency says","At least 19 people are presumed dead after 180 migrants were forced off a boat by smugglers on Thursday, according to the International Organization for Migration (IOM). The incident happened off the coast of Yemen’s southern province of Shabwa. On Wednesday, 29 people drowned in the same area in a similar incident, when 120 migrants were forced off a boat.
The Geneva-based IOM stated many of the drowned were thought to be teenagers from Somalia and Ethiopia. It said 29 bodies had been found on Wednesday, and an additional six on Thursday. The remaining 13 from Thursday’s incident are still missing.
Reuters reports that about 55,000 migrants have left Africa for Yemen in 2017.
Sources: BBC, Reuters",The Facts|World,Africa|Asia|Middle East|USA,election,FBI|International Organization for Migration|John Kerry|Raila Odinga|Uhuru Kenyatta|US State Department,Cuba|Kenya|New Orleans|South China Sea|Yemen,international relations|migrants,world_news,publish
42882,2017-08-11,State of emergency declared in New Orleans due to risk of flooding; more rain expected,"On Thursday, Louisiana Governor John Bel Edwards declared a state of emergency in New Orleans due to risk of flooding. Last weekend, New Orleans experienced flooding after 9.4 inches of rain fell in three hours. The National Weather Service has forecast showers and thunderstorms for the rest of the week in New Orleans. 
Parts of New Orleans are located below sea level, and the city relies on pumps to drain rainwater and prevent floods. New Orleans Mayor Mitch Landrieu’s office released a statement on Thursday, saying a turbine driving the pumps on the East Bank of the city was out of service due to a fire. According to NPR, three other turbines out of a total five are also currently out of service. The city is bringing in extra generators to back up the system. The mayor’s office said it hoped to have them installed in the next 48 hours.
Sources: AP, NPR",The Facts|World,Africa|Asia|Middle East|USA,election,FBI|International Organization for Migration|John Kerry|Raila Odinga|Uhuru Kenyatta|US State Department,Cuba|Kenya|New Orleans|South China Sea|Yemen,international relations|migrants,world_news,publish
42885,2017-08-11,US diplomats in Cuba suffer hearing loss attributed to sonic device,"On Wednesday, the U.S. State Department confirmed that employees at its embassy in Cuba had presented a variety of “physical symptoms” late last year. CNN reports, citing senior State Department officials, that it is believed the symptoms, resembling concussions, were caused by sonic devices operating outside the audible range. CNN adds that the employees could have permanent hearing loss as a result.
About five employees were affected, and some had returned to the U.S for medical treatment, AP reported. In return, the U.S. requested two Cuban diplomats leave Washington in May this year. State Department spokeswoman Heather Nauert said, “We requested their departure as a reciprocal measure since some U.S. personnel’s assignments in Havana had to be curtailed due to these incidents.”
Cuba has denied involvement in the incident, and released a statement saying it had launched an investigation. The FBI has also been allowed to conduct its own investigation in Havana.
Sources: CNN, AP",The Facts|World,Africa|Asia|Middle East|USA,election,FBI|International Organization for Migration|John Kerry|Raila Odinga|Uhuru Kenyatta|US State Department,Cuba|Kenya|New Orleans|South China Sea|Yemen,international relations|migrants,world_news,publish
42919,2017-08-11,US Navy destroyer sails within 12 miles of artificial island in South China Sea,"On Thursday, the guided missile destroyer USS John S. McCain sailed within 12 nautical miles of Mischief Reef, an artificial island built by China, in what the Pentagon calls a “freedom of navigation” exercise. Twelve nautical miles is an internationally-recognized territorial boundary. Sailing within that boundary shows a country does not recognize a territorial claim, according to Reuters.
China’s Foreign Ministry responded to the U.S. operation, saying it violated international and Chinese law, and that “China is very displeased with this and will bring up the issue with the U.S. side.” 
Mischief Reef is one of seven artificial islands built by China in the Spratly Islands archipelago. Three of these have runways and military installations. China’s territorial claims in the area have been disputed by Brunei, Malaysia, the Philippines, Taiwan and Vietnam. About $5 trillion in trade passes through the South China Sea each year.
Sources: Reuters, Fox News",The Facts|World,Africa|Asia|Middle East|USA,election,FBI|International Organization for Migration|John Kerry|Raila Odinga|Uhuru Kenyatta|US State Department,Cuba|Kenya|New Orleans|South China Sea|Yemen,international relations|migrants,world_news,publish
42891,2017-08-14,"Trump, Xi hold phone call on North Korea","U.S. President Donald Trump and Chinese President Xi Jinping spoke on the phone about North Korea on Saturday. The White House released a statement after the call, saying that Trump and Xi “agreed North Korea must stop its provocative and escalatory behavior.” The White House added that the two leaders “reiterated their mutual commitment to denuclearization of the Korean Peninsula.”
According to state-run China Central Television, Xi said to Trump, “relevant parties must maintain restraint and avoid words and deeds that would exacerbate the tension on the Korean Peninsula.” Xi said the parties involved should try to resolve the situation through dialogue and negotiation for a political solution, according to Chinese news agency Xinhua. 
On Friday, the day before the call, Trump tweeted, “Military solutions are now fully in place, locked and loaded, should North Korea act unwisely. Hopefully Kim Jong Un will find another path!”
Trump is scheduled to make his first state visit to China later this year.
(Sources: AP, Xinhua)",The Facts|World,Asia|Europe|Middle East|USA,,David Davis|Donald Trump|White Helmets|Xi Jinping,China|Iran|Nepal,flooding|international relations|sanctions|weather,world_news,publish
42894,2017-08-14,UK government announces 3 policy papers on EU exit negotiations,"The U.K. government plans to publish three documents outlining the government’s position on topics relating to the EU exit negotiations. The office of David Davis, Secretary of State for Exiting the European Union, released a statement on Sunday that said the papers will be published before negotiations resume in Brussels on Aug. 28. 
The papers will detail the government’s position on Northern Ireland, the Irish border, the availability of goods, and confidentiality and access to information after the British exit, according to the statement. The first paper will include suggestions for a new customs agreement.
Bloomberg reports that EU leaders will meet in Brussels on Oct. 19, then again on Dec. 14 to debate the British exit. The U.K. is scheduled to leave the EU by March 2019.
(Sources: BBC, Bloomberg)",The Facts|World,Asia|Europe|Middle East|USA,,David Davis|Donald Trump|White Helmets|Xi Jinping,China|Iran|Nepal,flooding|international relations|sanctions|weather,world_news,publish
42897,2017-08-14,7 ‘White Helmets’ medics killed in Syria,"Seven members of a Syrian medic group, commonly known as the White Helmets, were fatally shot in their office in Sarmin, in northwestern Syria, early on Saturday. The group released a statement saying that the attackers stole two vans, walkie talkies and helmets. There has been no claim of responsibility for the attack. 
The group, officially called the Syrian Civil Defense, formed in 2013. It works in opposition-held areas, offering medical aid to civilians in the Syrian civil war. The group was nominated for the Nobel Peace Prize in 2016.
(Sources: CNN, Al Jazeera)",The Facts|World,Asia|Europe|Middle East|USA,,David Davis|Donald Trump|White Helmets|Xi Jinping,China|Iran|Nepal,flooding|international relations|sanctions|weather,world_news,publish
42900,2017-08-14,Nepal floods kill at least 49,"Flooding and landslides due to “heavy” rain have killed at least 49 people in Nepal since Friday. “The number of dead could increase as we are still compiling the final tally,” said Laxmi Pun, an aide to Home Minister Janardan Sharma. Reuters reported that 17 people were injured and three dozen are missing.
Police spokesperson Pushkar Karki said 31,000 homes had been evacuated. The flood has washed away roads, affecting rescue efforts and transportation to and from flooded areas, the Associated Press reported. The flooding has also downed telephone and power lines, police said. The Red Cross said that the lack of communication and electricity have made it more difficult to transport supplies like food and water to displaced people. 
Nepal’s monsoon season runs from June through September.
(Sources:  AP, Reuters)",The Facts|World,Asia|Europe|Middle East|USA,,David Davis|Donald Trump|White Helmets|Xi Jinping,China|Iran|Nepal,flooding|international relations|sanctions|weather,world_news,publish
42903,2017-08-15,18 dead in shooting at Burkina Faso restaurant,"Eighteen people were reported killed and at least 22 were wounded by two gunmen at a restaurant in Ouagadougou, Burkina Faso, on Sunday. The attack began around 9 p.m. local time at the Aziz Istanbul Turkish restaurant and lasted for about seven hours. 
Two Canadians and three Lebanese people were killed, according to the countries’ respective foreign ministries. Eight Burkina Faso citizens, including one off-duty security officer, were also killed, according to authorities. The remaining victims were from France, Kuwait, Nigeria, Senegal and Turkey, state prosecutor Maizan Sereme said. Sereme also reported that at least five Burkina Faso security personnel were wounded. 
Burkina Faso’s communications minister Remi Dandjinou reported that the two gunmen had been killed. At the time of reporting, no group had claimed responsibility for the attack.
Three days of national mourning were declared by President Roch Marc Christian Kabore.
(Sources: The Washington Post, Al Jazeera)",The Facts|World,Africa|Asia|Latin America|USA,shooting,Donald Trump|Juan Manuel|Mike Pence|Xi Jinping,Burkina Faso|China|Colombia|Pakistan|Venezuela,international relations|sanctions|trade,world_news,publish
42932,2017-08-16,"Nearly 400 dead, 600 missing after Sierra Leone mudslide","Nearly 400 people have been killed after a mudslide early Monday morning near Sierra Leone’s capital of Freetown, local chief coroner Seneh Dumbuya reported on Tuesday. Dumbuya said they expected to find a total of more than 500 people dead. An additional 600 people were missing as of Tuesday, according to the Red Cross Society. 
The mudslide occurred around 6 a.m. in the town of Regent. It was due to “heavy” rains, the Associated Press reported.
Abu Bakarr Tarawallie, spokesman for Sierra Leone's Red Cross Society, said at least 3,000 people had lost their homes and needed supplies, and Abdul Nasir, program coordinator for the International Federation of Red Cross, said around 9,000 people in total have been affected by the mudslide. Sierra Leone’s military has been deployed to assist, and the U.N. is providing emergency assistance.
AP reported that many areas around Freetown are low lying and have inadequate drainage, exacerbating the effects of flooding.
(Sources: AP, Reuters)  ",The Facts|World,Africa|Asia|USA,press conference|protests,Donald Trump|Hassan Rouhani,Charlottesville|Florida|Iran|Kentucky|Maryland|New York|North Carolina|Sierra Leone|Tennessee|Texas,Affordable Care Act|healthcare|weather,world_news,publish
42936,2017-08-16,US CBO estimate: ending ACA cost-sharing subsidies would increase healthcare premiums by 20%,"The nonpartisan U.S. Congressional Budget Office (CBO) released an analysis on Tuesday, stating that if the U.S. government stopped funding the Affordable Care Act’s cost-sharing subsidies, premiums on silver healthcare plans would increase by 20 percent next year. 
The CBO also projected the federal budget deficit would increase by $194 million over the next 10 years, as the estimated premium increases would lead to more government subsidies for low- and moderate-income healthcare participants.
The federal government currently pays the cost-sharing subsidies directly to insurers, reimbursing them for reducing deductibles and co-payments for low-income people. Healthcare enrollees incur co-payments, or out-of-pocket costs, for visiting the doctor, receiving hospital care and filling prescriptions. The federal subsidies are only available to people buying silver level healthcare plans on the ACA’s exchanges.
In 2014, Republican lawmakers filed a lawsuit against the White House alleging that the Obama administration was funding these subsidies illegally because Congress had not appropriated money for that purpose. The case is still pending. The current administration has been providing money for the subsidies on a month-to-month basis. President Trump has said he was considering ending the subsidies.
(Sources: The New York Times, CNN, CBO report)",The Facts|World,Africa|Asia|USA,press conference|protests,Donald Trump|Hassan Rouhani,Charlottesville|Florida|Iran|Kentucky|Maryland|New York|North Carolina|Sierra Leone|Tennessee|Texas,Affordable Care Act|healthcare|weather,world_news,publish
42948,2017-08-17,White House names Hope Hicks as interim communications director,"On Wednesday, the White House named Hope Hicks as interim White House communications director. Hicks is replacing Anthony Scaramucci, who filled the communications director position for 10 days. A White House official said a permanent director would be announced “at the appropriate time.”
Hicks will work alongside press secretary Sarah Huckabee Sanders in her new position and will keep her current role as a senior communications adviser. Previously, Hicks was part of U.S. President Donald Trump’s campaign press team. Before this, she worked in public relations for the Trump Organization after leaving New York public relations firm Hiltzik Strategies.
(Sources: NPR, CNN)  ",The Facts|World,Africa|Asia|USA,bombing|crash|raid,Hope Hicks|Rodrigo Duterte,Hawaii|Nigeria|Phillipines|Washington,drugs|suicide bombing|violence|war,world_news,publish
42951,2017-08-17,"Philippine police kill 32 in drug raids, 100 arrested","Philippine police killed 32 people in a series of drug raids on Tuesday, according to Police Superintendent Romeo Caramat. He said 67 operations conducted near Manila in Bulacan province resulted in the deaths and put 100 people in custody. The raids took place over a period of 24 hours, BBC reports. Police said those killed were armed, resisted officers and were suspected offenders.
According to Camarat, 425 people have been killed and 4,000 arrested in Bulacan as part of President Rodrigo Duterte’s campaign against illegal drugs. Since Duterte became president in July 2016, police have killed a total of 3,451 “drug personalities,” according to government figures. Police data shows more than 2,000 additional people have been killed in drug-related crimes.
According to The Guardian, a complaint with the International Criminal Court (ICC) has been filed against Duterte, alleging he and his aides are involved in crimes against humanity.
(Sources:The Guardian, BBC)",The Facts|World,Africa|Asia|USA,bombing|crash|raid,Hope Hicks|Rodrigo Duterte,Hawaii|Nigeria|Phillipines|Washington,drugs|suicide bombing|violence|war,world_news,publish
42954,2017-08-17,"Suicide bombers kill 27, wound 83 in Nigeria","Three female suicide bombers killed 27 people and wounded 83 near the city of Maiduguri in northeast Nigeria on Tuesday, officials said. One woman detonated her device outside a market, resulting in the deaths. Emergency officials said the other two women detonated their devices outside a nearby refugee camp, which was located in Borno state, causing injuries but no deaths. No groups were reported claiming responsibility for the bombings.
(Sources: BBC, NBC News)",The Facts|World,Africa|Asia|USA,bombing|crash|raid,Hope Hicks|Rodrigo Duterte,Hawaii|Nigeria|Phillipines|Washington,drugs|suicide bombing|violence|war,world_news,publish
42957,2017-08-17,Five army personnel missing after helicopter crash off Hawaii coast,"On Tuesday, five active-duty U.S. Army personnel went missing after the UH-60 Black Hawk helicopter they were flying crashed during a nighttime training mission. The crew members were part of the Army’s 25th Combat Aviation Brigade stationed at Wheeler Army Airfield in Oahu. A search is underway and spokesman Maj. John Landry said the personnel have not been located or identified.
According to the Coast Guard, rescuers are searching two miles off the coast of Oahu and Capt. David Jenkins said Honolulu Fire Department crew members found parts of a fuselage and other debris. The Washington Post reported, without citing sources, that it was believed the helicopter went down at 9:30 p.m. local time after Wheeler airfield lost communication with the crew.
The Army and the Marine Corps are also assisting in the search. The cause of the crash is unknown.
(Sources: The Washington Post, Fox News )",The Facts|World,Africa|Asia|USA,bombing|crash|raid,Hope Hicks|Rodrigo Duterte,Hawaii|Nigeria|Phillipines|Washington,drugs|suicide bombing|violence|war,world_news,publish
